DAUID,POPDENSE
11020212,8.7
11020213,251.8
11020214,38.1
11020215,10.3
11020216,10.1
11020217,13.3
11020218,8.2
11020219,14.6
11020220,12.4
11020221,8.5
11020222,8.3
11020223,148.4
11020224,16.4
11020225,50.8
11020226,7.5
11020227,15.2
11020228,311.5
11020229,1310.2
11020230,682.7
11020231,842
11020232,1903.1
11020233,823.9
11020234,312.5
11020235,975
11020236,1046.6
11020237,751.6
11020238,273.9
11020239,128.1
11020240,120
11020241,1711.3
11020242,77.5
11020243,30.3
11020244,19
11020245,15.3
11020246,20.9
11020247,8.2
11020248,11.3
11020249,11.8
11020250,13.2
11020251,5.9
11020252,8.2
11020253,3.7
11020254,6.8
11020255,335.4
11020256,1018.6
11020257,593.1
11020258,1182.6
11020259,3230.1
11020260,673.4
11020261,286.5
11020262,117.1
11020263,40.2
11020264,27
11020265,780.8
11020266,2500
11020267,2090.7
1103,22.1
11030072,17.9
11030073,24.4
11030074,123.2
11030075,121.8
11030076,20.9
11030077,14.4
11030078,11.1
11030079,18
11030080,77.7
11030081,106.1
11030082,6.9
11030083,8.3
11030084,17.4
11030085,32.9
11030086,239.5
11030087,270.6
11030088,11.8
11030089,7.5
11030090,10.5
11030091,418.3
11030092,590.6
11030093,3.9
11030094,6.6
11030095,5.9
11030096,3.7
11030097,5.5
11030098,8.2
11030099,12.7
11030100,57
11030101,0
11030102,8
11030103,144.4
11030104,7.6
11030105,9
11030106,233.3
11030107,10
11030108,10.1
11030109,215.6
11030110,14.4
11030112,253.2
11030113,218.4
11030114,158.5
11030115,1792.5
11030116,1031.5
11030117,1600.3
11030118,353.2
11030119,1012.8
11030120,2833.8
11030121,1958.9
11030122,1690.9
11030123,3544.7
11030124,1234.1
11030125,2894.3
11030126,221.5
11030127,417
11030128,18
11030129,102.9
11030130,35.7
11030131,111
11030132,448.6
11030133,2006.8
11030134,415.7
11030135,1266.8
11030136,553
11030137,2426.3
11030138,2840.1
11030139,2290.4
11030140,2638.2
11030141,1614.2
11030142,1886.1
11030143,395.8
11030144,34.1
11030145,37.9
11030146,23.6
11030147,487.7
11030149,958.2
11030151,14.2
11030152,20.2
11030153,9.8
11030154,85.5
11030155,211.6
11030156,12.8
11030157,12.3
11030158,52.9
11030159,58.3
11030160,11.5
11030161,9.7
11030162,7.4
11030163,87.9
11030164,11.7
11030165,11.1
11030166,12.5
11030167,18.9
11030168,10.6
11030169,230
11030174,408.5
11030175,18.3
11030176,308.6
11030177,0
1201,5.7
12010030,0.4
12010031,83.4
12010032,601.2
12010033,497.8
12010034,205
12010035,16
12010036,8.1
12010037,16.3
12010038,3.9
12010039,1.6
12010040,1.6
12010041,9.5
12010042,165.9
12010043,7.4
12010044,22.8
12010045,34.4
12010046,51
12010047,125.9
12010048,46.3
12010049,69.7
12010050,269.6
12010051,53.2
12010052,40.7
12010053,19
12010054,2.8
12010055,228.2
12010056,4.1
1202,11.5
12020043,3.5
12020044,10.8
12020045,8.7
12020046,24.1
12020047,29.8
12020048,38.6
12020049,43.7
12020050,169
12020051,111.7
12020052,1180
12020053,1311.4
12020054,376.6
12020055,282.6
12020056,2282.1
12020057,1876.4
12020058,1785.9
12020059,1597.1
12020060,1508.7
12020061,479.9
12020062,1136.2
12020063,410.5
12020064,285.8
12020065,30.5
12020066,502.2
12020067,21
12020068,36.4
12020069,33.7
12020070,447.5
12020071,116.7
12020072,25.9
12020073,21.1
12020074,40.2
12020075,182.7
12020076,24.7
12020077,28.4
12020078,21.5
12020079,15.5
12020080,14
12020081,5.1
12020082,20.1
12020083,0.6
12020084,24.9
12020085,93.9
12020086,29.7
12020087,10.2
1203,6.9
12030040,29.7
12030041,490.2
12030042,581.7
12030043,993.3
12030044,747
12030045,11.1
12030046,35.2
12030047,11.4
12030048,6.2
12030051,0.5
12030052,9.3
12030053,13.7
12030054,8.4
12030055,6.4
12030056,11.9
12030057,18.6
12030058,72.9
12030059,27.9
12030060,38.8
12030061,10.7
12030062,29.9
12030063,22.5
12030064,35.6
12030065,53
12030066,16.7
12030067,8.5
12030068,5.4
12030069,1.4
12030070,2.5
12030071,10.2
12030072,45.5
12030073,58.6
12030074,34.2
12030075,54.2
12030076,31.5
12030077,7.1
12030078,20.9
12030079,19.5
12030082,40.6
1204,4.3
12040025,2.4
12040026,6.1
12040027,4.7
12040028,11
12040029,0.5
12040030,2.6
12040031,13.2
12040032,2
12040033,173.6
12040034,63.8
12040035,605.6
12040036,1000.7
12040037,538.5
12040038,174
12040039,25.8
12040040,1150.4
12040041,538
12040042,65.9
12040043,20.7
12040044,11.5
12040045,3.2
12040046,12.9
12040047,29.8
12040048,0.5
12040049,4.4
1205,6.5
12050044,35
12050045,402.1
12050046,133.2
12050047,156.2
12050048,32.1
12050049,23.1
12050050,56.2
12050051,9.3
12050052,9.4
12050053,334.6
12050054,242
12050055,728.5
12050056,31.6
12050057,107
12050058,16.6
12050059,25.9
12050060,6.2
12050061,21
12050062,4.7
12050063,12.2
12050064,182.2
12050065,419.5
12050066,9.9
12050067,11.2
12050068,6.7
12050069,2.8
12050070,77
12050071,240.8
12050072,10.4
12050073,9.4
12050074,38.5
12050075,8.5
12050076,66.1
12050077,4.8
12050078,14.4
12050080,0
12050082,0.4
12050083,1
12050084,1.6
12050085,33.8
12050086,6.3
12050087,80.5
12050088,7.4
12050089,15.2
12050090,0
12050093,17.2
1206,16.2
12060071,0
12060072,3.2
12060073,60.8
12060074,3.2
12060075,0.8
12060077,12.8
12060078,14.5
12060079,34.9
12060080,12.1
12060081,7.4
12060082,11.3
12060083,16.4
12060084,42.3
12060085,37
12060087,158.4
12060088,345.4
12060089,995.8
12060090,540.3
12060091,618
12060092,538.8
12060093,1947.7
12060094,1884.2
12060095,1305.7
12060096,1139.2
12060097,987.2
12060098,1866.2
12060099,1510.9
12060100,1427.2
12060105,19.8
12060106,18.6
12060107,37.9
12060108,588.5
12060109,253.7
12060110,1019.9
12060111,1435.6
12060112,1050.8
12060113,36.2
12060114,29.7
12060115,39.1
12060116,20.5
12060118,20.9
12060119,17.1
12060120,14.3
12060124,42.4
12060125,12.5
12060126,84.2
12060128,669
12060129,36.9
12060130,13.9
12060131,6.8
12060132,5.6
12060133,1.9
12060134,3.1
12060135,31.6
12060136,192.9
12060137,81
12060138,100.1
12060139,64.3
12060140,34.1
12060141,6.2
12060142,5.4
12060143,35.5
12060144,48.3
12060145,285.2
12060146,308.8
12060147,366.4
12060148,798.6
12060149,6.5
12060150,1.8
12060151,16.1
12060152,170.9
12060153,17.9
12060154,40.7
12060156,272.7
12060157,394.8
12060158,37.1
12060160,91.9
12060161,23.6
12060162,14.4
12060163,24
12060166,97.4
12060167,44
12060168,20.7
12060169,65.2
12060170,30
12060171,38.6
12060172,11.3
12060173,5.1
12060174,56.5
12060176,4.3
12060177,106.9
12060178,15.1
12060179,27.9
12060180,17.4
12060181,45.2
12060182,105.4
12060183,49.2
12060184,4.5
12060185,99.1
12060186,6.3
12060187,18.8
12060188,8.4
12060190,4.2
1207,28.5
12070081,5.8
12070082,23.2
12070083,83.5
12070084,139.9
12070085,20.6
12070086,41
12070087,339.8
12070088,201.1
12070089,64.6
12070090,1372.1
12070091,1512.2
12070092,1444.1
12070093,2243.4
12070094,1735.8
12070095,1252.5
12070096,503.3
12070097,1468.3
12070098,292.7
12070099,207.5
12070100,2151.6
12070101,135.6
12070102,1010.9
12070103,1069.5
12070104,1384.7
12070105,379.9
12070106,1077.9
12070107,863
12070108,67.4
12070109,28.9
12070110,90.7
12070111,27.1
12070112,197
12070113,198.5
12070114,864.2
12070115,25.5
12070116,176.6
12070117,411.7
12070118,46.8
12070119,158.8
12070120,213.7
12070121,41
12070122,27.3
12070123,10.7
12070124,11.8
12070125,12
12070126,22.9
12070127,19.8
12070128,43.9
12070129,158.1
12070130,160.8
12070131,84.6
12070132,216.4
12070133,13.8
12070134,25.5
12070135,134
12070136,951.6
12070137,1025.2
12070138,741.2
12070139,265
12070140,32.3
12070141,43.5
12070142,7.7
12070143,61.1
12070144,6.9
12070145,303.9
12070146,918.4
12070147,191.9
12070148,337.1
12070149,39.7
